組み合わせ,共起回数
"の, 思う, 見る",16
"思う, 映画, 見る",10
"映画, 映画, 見る",12
"思う, 見る",33
"思う, 思う, 見る",11
"くださる, の, の",11
"くださる, の, の, 映画",18
"くださる, の, 映画",13
"くださる, の, 映画, 映画",12
"くださる, 映画",20
"ん, 映画",13
"ん, ん, 言う",10
"ん, ん, 女性",12
"ん, ん, 女性, 女性",18
"ん, 人, 人, 思う",12
"ん, 人, 人, 思う, 言う",12
"ん, 人, 人, 言う",25
"ん, 人, 人, 言う, 言う",30
"ん, 人, 思う",17
"ん, 人, 思う, 言う",12
"ん, 人, 言う",28
"ん, 人, 言う, 言う",30
"の, ん, 人, 思う",11
"の, ん, 人, 言う",18
"の, ん, 人, 言う, 言う",30
"の, ん, 思う",18
"の, ん, 思う, 言う",11
"の, ん, 言う",19
"の, ん, 言う, 言う",13
"ん, 女性, 思う",12
"ん, 女性, 思う, 言う",11
"ん, 思う, 言う",17
"ん, 女性, 言う",11
"ん, 女性, 女性",40
"ん, 女性, 女性, 女性",42
"ん, 言う",35
"ん, 言う, 言う",14
"女性, 言う",19
"女性, 女性, 言う",11
"女性, 思う, 映画",10
"女性, 女性, 思う, 映画",17
"女性, 女性, 映画",22
"女性, 女性, 女性, 映画",24
"の, 女性",21
"の, 女性, 思う",16
"女性, 思う",30
"女性, 女性, 思う",29
"女性, 女性",62
"女性, 女性, 女性",53
"の, 映画, 言う",10
"の, 思う, 映画, 言う",13
"思う, 映画, 言う",16
"思う, 思う, 映画, 言う",12
"言う, 言う, 言う",11
"人, 言う, 言う, 言う",31
"の, 言う, 言う, 言う",10
"の, 人, 言う, 言う, 言う",10
"思う, 言う, 言う",13
"の, 言う, 言う",16
"の, 人, 言う, 言う",30
"人, 言う, 言う",33
"人, 人, 言う, 言う",30
"思う, 思う, 言う",12
"の, 思う, 思う, 言う",13
"人, 思う, 言う",21
"人, 人, 思う, 言う",15
"の, 思う, 言う",37
"の, の, 思う, 言う",13
"人, 人, 言う",31
"の, 人, 人, 言う",22
"の, 人, 言う",34
"の, 言う",53
"の, の, 言う",16
"人, 映画",23
"の, 人, 映画",14
"映画, 映画",23
"の, 映画, 映画",16
"思う, 映画",28
"の, 思う, 映画",17
"の, 映画",36
"の, の, 映画",23
"の, 思う, 思う",15
"人, 思う, 思う",19
"人, 人, 思う, 思う",15
"の, の, 思う",16
"の, 人, 思う",22
"の, 人, 人, 思う",10
"人, 思う",61
"人, 人, 思う",39
"の, の, 人",12
"の, 人, 人",22
"人, 人",52
"人, 人, 人",19
"の, の",42
