組み合わせ,共起回数
"暇, 為る, 空, 言う",44
"暇, 為る, 為る, 空, 言う",73
"為る, 空, 言う",18
"為る, 為る, 空, 言う",27
"事, 弁護, 空, 言う",6
"事, 弁護, 暇, 空, 言う",12
"事, 弁護, 為る, 空, 言う",18
"事, 弁護, 弁護, 空, 言う",6
"事, 弁護, 暇, 為る, 空, 言う",12
"事, 弁護, 弁護, 暇, 空, 言う",6
"事, 弁護, 弁護, 為る, 空, 言う",6
"事, 弁護, 弁護, 暇, 為る, 空, 言う",6
"事, 暇, 暇, 空, 言う",8
"事, 暇, 暇, 為る, 空, 言う",36
"事, 暇, 為る, 空, 言う",44
"事, 暇, 為る, 為る, 空, 言う",73
"事, 為る, 空, 言う",18
"事, 為る, 為る, 空, 言う",27
"事, 弁護, 空",6
"事, 弁護, 暇, 空",12
"事, 弁護, 為る, 空",18
"事, 弁護, 弁護, 空",6
"事, 弁護, 暇, 為る, 空",12
"事, 弁護, 弁護, 暇, 空",6
"事, 弁護, 弁護, 為る, 空",6
"事, 弁護, 弁護, 暇, 為る, 空",6
"事, 暇, 暇, 空",5
"事, 暇, 暇, 為る, 空",21
"事, 暇, 為る, 空",29
"事, 暇, 為る, 為る, 空",43
"事, 為る, 空",13
"事, 為る, 為る, 空",17
"弁護, 空",6
"弁護, 暇, 空",12
"弁護, 為る, 空",18
"弁護, 弁護, 空",6
"弁護, 暇, 為る, 空",12
"弁護, 弁護, 暇, 空",6
"弁護, 弁護, 為る, 空",6
"弁護, 弁護, 暇, 為る, 空",6
"暇, 暇, 空",5
"暇, 暇, 為る, 空",21
"暇, 為る, 空",29
"暇, 為る, 為る, 空",43
"為る, 空",13
"為る, 為る, 空",17
"垢, 為る, 頭",6
"ノン-non, 垢, 為る, 頭",18
"ア-a, 垢, 為る, 頭",18
"垢, 暇, 為る, 頭",18
"垢, 垢, 為る, 頭",6
"ア-a, ノン-non, 垢, 為る, 頭",18
"ノン-non, 垢, 暇, 為る, 頭",18
"ノン-non, 垢, 垢, 為る, 頭",6
"ア-a, 垢, 暇, 為る, 頭",18
"ア-a, 垢, 垢, 為る, 頭",6
"垢, 垢, 暇, 為る, 頭",6
"ア-a, ノン-non, 垢, 暇, 為る, 頭",18
"ア-a, ノン-non, 垢, 垢, 為る, 頭",6
"ノン-non, 垢, 垢, 暇, 為る, 頭",6
"ア-a, 垢, 垢, 暇, 為る, 頭",6
"ア-a, ノン-non, 垢, 垢, 暇, 為る, 頭",6
"垢, 垢, 頭",6
"ノン-non, 垢, 垢, 頭",18
"ア-a, 垢, 垢, 頭",18
"垢, 垢, 暇, 頭",18
"ア-a, ノン-non, 垢, 垢, 頭",18
"ノン-non, 垢, 垢, 暇, 頭",18
"ア-a, 垢, 垢, 暇, 頭",18
"ア-a, ノン-non, 垢, 垢, 暇, 頭",18
"垢, 暇, 頭",18
"垢, 暇, 暇, 頭",18
"ア-a, 垢, 頭",18
"ア-a, 垢, 暇, 頭",54
"ア-a, ノン-non, 垢, 頭",54
"ア-a, ア-a, 垢, 頭",18
"ア-a, ノン-non, 垢, 暇, 頭",126
"ア-a, ア-a, 垢, 暇, 頭",18
"ア-a, ア-a, ノン-non, 垢, 頭",42
"ア-a, ア-a, ノン-non, 垢, 暇, 頭",42
"ノン-non, ノン-non, 垢, 頭",18
"ア-a, ノン-non, ノン-non, 垢, 頭",48
"ノン-non, ノン-non, 垢, 暇, 頭",54
"ノン-non, ノン-non, ノン-non, 垢, 頭",6
"ア-a, ノン-non, ノン-non, 垢, 暇, 頭",48
"ア-a, ノン-non, ノン-non, ノン-non, 垢, 頭",6
"ノン-non, ノン-non, ノン-non, 垢, 暇, 頭",6
"ア-a, ノン-non, ノン-non, ノン-non, 垢, 暇, 頭",6
"ノン-non, 垢, 暇, 頭",54
"ノン-non, 垢, 暇, 暇, 頭",54
"垢, 居る, 頭",12
"ノン-non, 垢, 居る, 頭",36
"ア-a, 垢, 居る, 頭",36
"垢, 居る, 暇, 頭",36
"垢, 垢, 居る, 頭",12
"ア-a, ノン-non, 垢, 居る, 頭",36
"ノン-non, 垢, 居る, 暇, 頭",36
"ノン-non, 垢, 垢, 居る, 頭",12
"ア-a, 垢, 居る, 暇, 頭",36
"ア-a, 垢, 垢, 居る, 頭",12
"垢, 垢, 居る, 暇, 頭",12
"ア-a, ノン-non, 垢, 居る, 暇, 頭",36
"ア-a, ノン-non, 垢, 垢, 居る, 頭",12
"ノン-non, 垢, 垢, 居る, 暇, 頭",12
"ア-a, 垢, 垢, 居る, 暇, 頭",12
"ア-a, ノン-non, 垢, 垢, 居る, 暇, 頭",12
"垢, 居る, 為る, 頭",12
"垢, 居る, 暇, 為る, 頭",36
"ア-a, 垢, 居る, 為る, 頭",36
"ノン-non, 垢, 居る, 為る, 頭",36
"垢, 垢, 居る, 為る, 頭",12
"ア-a, 垢, 居る, 暇, 為る, 頭",36
"ノン-non, 垢, 居る, 暇, 為る, 頭",36
"垢, 垢, 居る, 暇, 為る, 頭",12
"ア-a, ノン-non, 垢, 居る, 為る, 頭",36
"ア-a, 垢, 垢, 居る, 為る, 頭",12
"ノン-non, 垢, 垢, 居る, 為る, 頭",12
"ア-a, ノン-non, 垢, 居る, 暇, 為る, 頭",36
"ア-a, 垢, 垢, 居る, 暇, 為る, 頭",12
"ノン-non, 垢, 垢, 居る, 暇, 為る, 頭",12
"ア-a, ノン-non, 垢, 垢, 居る, 為る, 頭",12
"ア-a, ノン-non, 垢, 垢, 居る, 暇, 為る, 頭",12
"居る, 為る, 為る, 頭",12
"居る, 暇, 為る, 為る, 頭",12
"ア-a, 居る, 為る, 為る, 頭",12
"ノン-non, 居る, 為る, 為る, 頭",12
"居る, 為る, 為る, 為る, 頭",8
"ア-a, 居る, 暇, 為る, 為る, 頭",12
"ノン-non, 居る, 暇, 為る, 為る, 頭",12
"居る, 暇, 為る, 為る, 為る, 頭",8
"ア-a, ノン-non, 居る, 為る, 為る, 頭",12
"ア-a, 居る, 為る, 為る, 為る, 頭",8
"ノン-non, 居る, 為る, 為る, 為る, 頭",8
"ア-a, ノン-non, 居る, 暇, 為る, 為る, 頭",12
"ア-a, 居る, 暇, 為る, 為る, 為る, 頭",8
"ノン-non, 居る, 暇, 為る, 為る, 為る, 頭",8
"ア-a, ノン-non, 居る, 為る, 為る, 為る, 頭",8
"ア-a, ノン-non, 居る, 暇, 為る, 為る, 為る, 頭",8
"ノン-non, 居る, 為る, 頭",20
"ア-a, ノン-non, 居る, 為る, 頭",44
"ノン-non, ノン-non, 居る, 為る, 頭",12
"ア-a, ノン-non, ノン-non, 居る, 為る, 頭",28
"ア-a, ア-a, 居る, 為る, 頭",12
"ア-a, ア-a, ノン-non, 居る, 為る, 頭",32
"居る, 暇, 為る, 頭",20
"ア-a, 居る, 暇, 為る, 頭",44
"ノン-non, 居る, 暇, 為る, 頭",44
"居る, 暇, 暇, 為る, 頭",12
"ア-a, ノン-non, 居る, 暇, 為る, 頭",44
"ア-a, 居る, 暇, 暇, 為る, 頭",12
"ノン-non, 居る, 暇, 暇, 為る, 頭",12
"ア-a, ノン-non, 居る, 暇, 暇, 為る, 頭",12
"居る, 暇, 頭",14
"居る, 暇, 暇, 頭",12
"ア-a, 居る, 頭",14
"ア-a, 居る, 暇, 頭",38
"ア-a, ノン-non, 居る, 頭",38
"ア-a, ア-a, 居る, 頭",12
"ア-a, ノン-non, 居る, 暇, 頭",86
"ア-a, ア-a, 居る, 暇, 頭",12
"ア-a, ア-a, ノン-non, 居る, 頭",28
"ア-a, ア-a, ノン-non, 居る, 暇, 頭",28
"ノン-non, ノン-non, 居る, 頭",12
"ア-a, ノン-non, ノン-non, 居る, 頭",32
"ノン-non, ノン-non, 居る, 暇, 頭",36
"ア-a, ノン-non, ノン-non, 居る, 暇, 頭",32
"ノン-non, 居る, 暇, 頭",38
"ノン-non, 居る, 暇, 暇, 頭",36
"ア-a, ノン-non, 頭",19
"ア-a, ノン-non, 為る, 頭",22
"ノン-non, ノン-non, 為る, 頭",6
"ア-a, ノン-non, ノン-non, 為る, 頭",16
"ア-a, ノン-non, ノン-non, 頭",16
"ノン-non, 為る, 頭",10
"ノン-non, 為る, 為る, 頭",6
"ア-a, ア-a, 為る, 頭",6
"ア-a, ア-a, ノン-non, 為る, 頭",16
"ア-a, ア-a, ノン-non, 頭",16
"ア-a, ア-a, ノン-non, ノン-non, 頭",14
"ア-a, 為る, 為る, 頭",6
"ア-a, ノン-non, 為る, 為る, 頭",6
"暇, 暇, 頭",6
"暇, 暇, 為る, 頭",6
"ノン-non, 暇, 暇, 頭",18
"ア-a, 暇, 暇, 頭",18
"ノン-non, 暇, 暇, 為る, 頭",6
"ア-a, 暇, 暇, 為る, 頭",6
"ア-a, ノン-non, 暇, 暇, 頭",18
"ア-a, ノン-non, 暇, 暇, 為る, 頭",6
"暇, 為る, 為る, 頭",6
"ア-a, 暇, 為る, 為る, 頭",6
"ノン-non, 暇, 為る, 為る, 頭",6
"ア-a, ノン-non, 暇, 為る, 為る, 頭",6
"ノン-non, 暇, 為る, 頭",22
"ア-a, ノン-non, 暇, 為る, 頭",58
"ノン-non, ノン-non, 暇, 為る, 頭",18
"ア-a, ノン-non, ノン-non, 暇, 為る, 頭",42
"ア-a, ア-a, 暇, 為る, 頭",18
"ア-a, ア-a, ノン-non, 暇, 為る, 頭",48
"ア-a, ア-a, ア-a, 暇, 為る, 頭",6
"ア-a, ア-a, ア-a, ノン-non, 暇, 為る, 頭",6
"ア-a, 暇, 頭",19
"ア-a, ノン-non, 暇, 頭",55
"ア-a, ア-a, 暇, 頭",18
"ア-a, ア-a, ノン-non, 暇, 頭",42
"ノン-non, ノン-non, 暇, 頭",18
"ア-a, ノン-non, ノン-non, 暇, 頭",48
"ノン-non, ノン-non, ノン-non, 暇, 頭",6
"ア-a, ノン-non, ノン-non, ノン-non, 暇, 頭",6
"為る, 頭",10
"為る, 為る, 頭",8
"カルピス-CALPIS, 居る",5
"カルピス-CALPIS, 居る, 暇",12
"ア-a, カルピス-CALPIS, 居る",12
"カルピス-CALPIS, ノン-non, 居る",12
"カルピス-CALPIS, 垢, 居る",12
"ア-a, カルピス-CALPIS, 居る, 暇",12
"カルピス-CALPIS, ノン-non, 居る, 暇",12
"カルピス-CALPIS, 垢, 居る, 暇",12
"ア-a, カルピス-CALPIS, ノン-non, 居る",12
"ア-a, カルピス-CALPIS, 垢, 居る",12
"カルピス-CALPIS, ノン-non, 垢, 居る",12
"ア-a, カルピス-CALPIS, ノン-non, 居る, 暇",12
"ア-a, カルピス-CALPIS, 垢, 居る, 暇",12
"カルピス-CALPIS, ノン-non, 垢, 居る, 暇",12
"ア-a, カルピス-CALPIS, ノン-non, 垢, 居る",12
"ア-a, カルピス-CALPIS, ノン-non, 垢, 居る, 暇",12
"カルピス-CALPIS, 為る",5
"カルピス-CALPIS, 居る, 為る",6
"カルピス-CALPIS, 暇, 為る",6
"ア-a, カルピス-CALPIS, 為る",6
"カルピス-CALPIS, ノン-non, 為る",6
"カルピス-CALPIS, 垢, 為る",6
"カルピス-CALPIS, 居る, 暇, 為る",6
"ア-a, カルピス-CALPIS, 居る, 為る",6
"カルピス-CALPIS, ノン-non, 居る, 為る",6
"カルピス-CALPIS, 垢, 居る, 為る",6
"ア-a, カルピス-CALPIS, 暇, 為る",6
"カルピス-CALPIS, ノン-non, 暇, 為る",6
"カルピス-CALPIS, 垢, 暇, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 為る",6
"ア-a, カルピス-CALPIS, 垢, 為る",6
"カルピス-CALPIS, ノン-non, 垢, 為る",6
"ア-a, カルピス-CALPIS, 居る, 暇, 為る",6
"カルピス-CALPIS, ノン-non, 居る, 暇, 為る",6
"カルピス-CALPIS, 垢, 居る, 暇, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 居る, 為る",6
"ア-a, カルピス-CALPIS, 垢, 居る, 為る",6
"カルピス-CALPIS, ノン-non, 垢, 居る, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 暇, 為る",6
"ア-a, カルピス-CALPIS, 垢, 暇, 為る",6
"カルピス-CALPIS, ノン-non, 垢, 暇, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 垢, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 居る, 暇, 為る",6
"ア-a, カルピス-CALPIS, 垢, 居る, 暇, 為る",6
"カルピス-CALPIS, ノン-non, 垢, 居る, 暇, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 垢, 居る, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 垢, 暇, 為る",6
"ア-a, カルピス-CALPIS, ノン-non, 垢, 居る, 暇, 為る",6
"カルピス-CALPIS, 垢",6
"カルピス-CALPIS, 垢, 垢",6
"カルピス-CALPIS, ノン-non",6
"カルピス-CALPIS, ノン-non, 垢",18
"ア-a, カルピス-CALPIS, ノン-non",18
"カルピス-CALPIS, ノン-non, ノン-non",6
"ア-a, カルピス-CALPIS, ノン-non, 垢",42
"カルピス-CALPIS, ノン-non, ノン-non, 垢",6
"ア-a, カルピス-CALPIS, ノン-non, ノン-non",14
"ア-a, カルピス-CALPIS, ノン-non, ノン-non, 垢",14
"ア-a, ア-a, カルピス-CALPIS",6
"ア-a, ア-a, カルピス-CALPIS, ノン-non",16
"ア-a, ア-a, カルピス-CALPIS, 垢",18
"ア-a, ア-a, カルピス-CALPIS, ノン-non, 垢",16
"ア-a, カルピス-CALPIS, 垢",18
"ア-a, カルピス-CALPIS, 垢, 垢",18
"カルピス-CALPIS, 暇",6
"ア-a, カルピス-CALPIS, 暇",18
"カルピス-CALPIS, ノン-non, 暇",18
"カルピス-CALPIS, 垢, 暇",18
"カルピス-CALPIS, 暇, 暇",6
"ア-a, カルピス-CALPIS, ノン-non, 暇",18
"ア-a, カルピス-CALPIS, 垢, 暇",18
"ア-a, カルピス-CALPIS, 暇, 暇",6
"カルピス-CALPIS, ノン-non, 垢, 暇",18
"カルピス-CALPIS, ノン-non, 暇, 暇",6
"カルピス-CALPIS, 垢, 暇, 暇",6
"ア-a, カルピス-CALPIS, ノン-non, 垢, 暇",18
"ア-a, カルピス-CALPIS, ノン-non, 暇, 暇",6
"ア-a, カルピス-CALPIS, 垢, 暇, 暇",6
"カルピス-CALPIS, ノン-non, 垢, 暇, 暇",6
"ア-a, カルピス-CALPIS, ノン-non, 垢, 暇, 暇",6
"付ける, 為る",7
"ブロック-block, 居る",5
"ブロック-block, 居る, 見る",6
"ブロック-block, 居る, 為る",16
"ブロック-block, 居る, 為る, 見る",6
"ブロック-block, 見る",5
"ブロック-block, 為る, 見る",20
"ブロック-block, 為る",13
"ブロック-block, 為る, 為る",18
"懲戒, 請求",10
"弁護, 懲戒",10
"弁護, 懲戒, 請求",10
"呉れる, 為る",9
"為る, 認める",12
"デマ-Demagogie, 為る",7
"公金, 為る",11
"為る, 願う",7
"垣, 為る",8
"垣, 鍔",6
"垣, 為る, 鍔",10
"為る, 鍔",8
"為る, 為る, 鍔",8
"万, 為る",8
"万, 円-助数詞",6
"万, 円-助数詞, 為る",10
"円-助数詞, 為る",8
"前, 為る",8
"時, 耐える",5
"時, 為る, 耐える",13
"為る, 耐える",8
"為る, 為る, 耐える",6
"アサノ, アサノ, 直",5
"アサノ, アサノ, 為る, 直",13
"アサノ, 為る, 直",31
"アサノ, 為る, 為る, 直",47
"為る, 直",19
"為る, 為る, 直",27
"司法, 為る",7
"司法, 為る, 言う",7
"司法, 言う",7
"事, 開示",5
"事, 為る, 開示",5
"成る, 開示",5
"成る, 為る, 開示",5
"為る, 開示",7
"為る, 為る, 開示",5
"ださい, 為る",7
"事, 人, 暇, 暇, 言う",13
"事, 人, 暇, 暇, 為る, 言う",63
"事, 人, 暇, 為る, 言う",66
"事, 人, 暇, 為る, 為る, 言う",126
"事, 人, 為る, 言う",23
"事, 人, 為る, 為る, 言う",43
"事, 人, 居る, 暇, 暇, 言う",13
"事, 人, 居る, 暇, 暇, 為る, 言う",63
"事, 人, 居る, 暇, 為る, 言う",66
"事, 人, 居る, 暇, 為る, 為る, 言う",126
"事, 人, 居る, 為る, 言う",23
"事, 人, 居る, 為る, 為る, 言う",43
"人, 居る, 暇, 暇, 言う",13
"人, 居る, 暇, 暇, 為る, 言う",63
"人, 居る, 暇, 為る, 言う",66
"人, 居る, 暇, 為る, 為る, 言う",126
"人, 居る, 為る, 言う",23
"人, 居る, 為る, 為る, 言う",43
"人, 暇, 暇, 言う",13
"人, 暇, 暇, 為る, 言う",63
"人, 暇, 為る, 言う",66
"人, 暇, 為る, 為る, 言う",126
"人, 為る, 言う",23
"人, 為る, 為る, 言う",43
"事, 人, 出来る",5
"事, 人, 出来る, 為る",9
"事, 人, 出来る, 居る",8
"事, 人, 出来る, 居る, 為る",8
"人, 出来る, 居る",8
"人, 出来る, 居る, 為る",16
"人, 出来る, 為る",9
"事, 人, 居る, 暇, 暇",7
"事, 人, 居る, 暇, 暇, 為る",33
"事, 人, 居る, 暇, 為る",36
"事, 人, 居る, 暇, 為る, 為る",66
"事, 人, 居る, 為る",21
"事, 人, 居る, 為る, 為る",27
"事, 人, 暇, 暇",7
"事, 人, 暇, 暇, 為る",33
"事, 人, 暇, 為る",36
"事, 人, 暇, 為る, 為る",66
"事, 人, 為る",18
"事, 人, 為る, 為る",25
"人, 居る, 暇, 暇",7
"人, 居る, 暇, 暇, 為る",33
"人, 居る, 暇, 為る",36
"人, 居る, 暇, 為る, 為る",66
"人, 居る, 為る",21
"人, 居る, 為る, 為る",27
"人, 暇, 暇",7
"人, 暇, 暇, 為る",33
"人, 暇, 為る",36
"人, 暇, 為る, 為る",66
"人, 為る",18
"人, 為る, 為る",25
"為る, 笑い",5
"笑い, 言う",6
"問題, 為る",6
"欲しい, 為る",8
"つく, 無い",5
"つく, 為る, 無い",10
"つく, 為る",9
"つく, 為る, 為る",5
"司法, 試験",5
"為る, 試験",5
"言う, 試験",5
"司法, 言う, 試験",7
"ツイート-tweet, 見る",5
"ツイート-tweet, 為る, 見る",17
"ツイート-tweet, 為る",17
"ツイート-tweet, 為る, 為る",23
"アサノ, 告発",7
"アサノ, 告発, 為る",17
"告発, 為る",16
"告発, 為る, 為る",18
"為る, 遣る",5
"垢, 居る, 為る, 為る",8
"垢, 居る, 暇, 為る",22
"垢, 居る, 暇, 暇, 為る",18
"ノン-non, 垢, 居る, 為る",22
"ノン-non, 垢, 居る, 暇, 為る",58
"ア-a, ノン-non, 垢, 居る, 為る",58
"ノン-non, ノン-non, 垢, 居る, 為る",18
"ア-a, ノン-non, 垢, 居る, 暇, 為る",130
"ノン-non, ノン-non, 垢, 居る, 暇, 為る",18
"ア-a, ノン-non, ノン-non, 垢, 居る, 為る",42
"ア-a, ノン-non, ノン-non, 垢, 居る, 暇, 為る",42
"ア-a, ア-a, 垢, 居る, 為る",18
"ア-a, ア-a, ノン-non, 垢, 居る, 為る",48
"ア-a, ア-a, 垢, 居る, 暇, 為る",54
"ア-a, ア-a, ア-a, 垢, 居る, 為る",6
"ア-a, ア-a, ノン-non, 垢, 居る, 暇, 為る",48
"ア-a, ア-a, ア-a, ノン-non, 垢, 居る, 為る",6
"ア-a, ア-a, ア-a, 垢, 居る, 暇, 為る",6
"ア-a, ア-a, ア-a, ノン-non, 垢, 居る, 暇, 為る",6
"ア-a, 垢, 居る, 暇, 為る",58
"ア-a, 垢, 居る, 暇, 暇, 為る",54
"ア-a, 垢, 居る",20
"ア-a, ノン-non, 垢, 居る",56
"ア-a, ア-a, 垢, 居る",18
"ア-a, ア-a, ノン-non, 垢, 居る",42
"ノン-non, ノン-non, 垢, 居る",18
"ア-a, ノン-non, ノン-non, 垢, 居る",48
"ノン-non, ノン-non, ノン-non, 垢, 居る",6
"ア-a, ノン-non, ノン-non, ノン-non, 垢, 居る",6
"垢, 居る, 暇",20
"ノン-non, 垢, 居る, 暇",56
"ア-a, 垢, 居る, 暇",56
"垢, 居る, 暇, 暇",18
"ア-a, ノン-non, 垢, 居る, 暇",56
"ノン-non, 垢, 居る, 暇, 暇",18
"ア-a, 垢, 居る, 暇, 暇",18
"ア-a, ノン-non, 垢, 居る, 暇, 暇",18
"ア-a, ノン-non, 垢",30
"ア-a, ノン-non, 垢, 為る",33
"ア-a, ノン-non, 垢, 暇",85
"ア-a, ノン-non, 垢, 暇, 為る",71
"ノン-non, ノン-non, 垢, 為る",9
"ア-a, ノン-non, ノン-non, 垢, 為る",24
"ノン-non, ノン-non, 垢, 暇, 為る",27
"ア-a, ノン-non, ノン-non, 垢, 暇, 為る",24
"ア-a, ノン-non, ノン-non, 垢",24
"ア-a, ノン-non, ノン-non, 垢, 暇",48
"ノン-non, ノン-non, 垢, 暇",27
"ノン-non, ノン-non, 垢, 暇, 暇",27
"ノン-non, 垢, 為る",15
"ノン-non, 垢, 暇, 為る",35
"ノン-non, 垢, 暇",31
"ノン-non, 垢, 暇, 暇",28
"ア-a, ア-a, 垢, 為る",9
"ア-a, ア-a, ノン-non, 垢, 為る",24
"ア-a, ア-a, 垢, 暇, 為る",27
"ア-a, ア-a, ノン-non, 垢, 暇, 為る",24
"ア-a, ア-a, ノン-non, 垢",24
"ア-a, ア-a, ノン-non, 垢, 暇",72
"ア-a, ア-a, ノン-non, ノン-non, 垢",21
"ア-a, ア-a, ノン-non, ノン-non, 垢, 暇",21
"ア-a, ア-a, 垢, 暇",27
"ア-a, ア-a, 垢, 暇, 暇",27
"ア-a, 垢, 暇, 為る",35
"ア-a, 垢, 暇, 暇, 為る",29
"ア-a, 垢, 暇",31
"ア-a, 垢, 暇, 暇",28
"垢, 暇",13
"垢, 暇, 暇",10
"垢, 為る, 為る",9
"垢, 暇, 為る",17
"垢, 暇, 暇, 為る",11
"本当, 為る",9
"ユウイチロウ, 居る",7
"ユウイチロウ, 居る, 為る",24
"ユウイチロウ, 為る",19
"ユウイチロウ, 為る, 為る",23
"クリスマス-Christmas, 皆",5
"クリスマス-Christmas, 為る, 皆",8
"クリスマス-Christmas, 居る, 皆",5
"クリスマス-Christmas, 居る, 為る, 皆",12
"クリスマス-Christmas, 居る, 為る",12
"クリスマス-Christmas, 居る, 為る, 為る",9
"クリスマス-Christmas, 為る",9
"クリスマス-Christmas, 為る, 為る",7
"為る, 過ぎる",7
"弁護, 皆",5
"弁護, 為る, 皆",14
"事, 皆",6
"事, 為る, 皆",12
"居る, 皆",6
"居る, 為る, 皆",16
"為る, 皆",15
"為る, 為る, 皆",14
"来る, 為る",15
"無い, 物",5
"為る, 物",6
"為る, 請求",5
"弁護, 請求",15
"弁護, 弁護, 請求",30
"居る, 時",9
"居る, 時, 為る",15
"時, 為る",14
"時, 為る, 為る",12
"仕舞う, 為る",7
"アサノ, 事, 無い",6
"アサノ, 事, 為る, 無い",6
"アサノ, 無い, 言う",6
"アサノ, 事, 無い, 言う",12
"アサノ, 為る, 無い, 言う",6
"アサノ, 事, 為る, 無い, 言う",6
"アサノ, 為る, 無い",7
"アサノ, 居る, 無い, 言う",6
"アサノ, 居る, 為る, 無い, 言う",6
"アサノ, 事, 居る, 無い",6
"アサノ, 事, 居る, 無い, 言う",12
"アサノ, 事, 居る, 為る, 無い",6
"アサノ, 事, 居る, 為る, 無い, 言う",6
"アサノ, 居る, 為る, 無い",7
"アサノ, 居る, 言う",6
"アサノ, 居る, 為る, 言う",6
"アサノ, 事, 居る, 言う",12
"アサノ, 事, 居る, 為る, 言う",6
"アサノ, 事, 居る",7
"アサノ, 居る, 為る",7
"アサノ, 事, 居る, 為る",8
"アサノ, 有る",5
"アサノ, 有る, 為る",22
"アサノ, 事, 為る",8
"アサノ, 事, 為る, 言う",12
"アサノ, 事, 言う",12
"アサノ, 事, 言う, 言う",6
"アサノ, 言う",9
"アサノ, 為る, 言う",12
"アサノ, 為る",25
"アサノ, 為る, 為る",27
"自分, 誹謗",5
"事, 居る, 弁護, 言う, 誹謗",6
"事, 居る, 弁護, 為る, 言う, 誹謗",18
"事, 居る, 弁護, 弁護, 言う, 誹謗",6
"事, 居る, 弁護, 弁護, 為る, 言う, 誹謗",6
"居る, 弁護, 弁護, 言う, 誹謗",6
"居る, 弁護, 弁護, 為る, 言う, 誹謗",18
"居る, 弁護, 為る, 言う, 誹謗",18
"居る, 弁護, 為る, 為る, 言う, 誹謗",18
"事, 居る, 言う, 誹謗",7
"事, 居る, 為る, 言う, 誹謗",12
"居る, 為る, 言う, 誹謗",10
"居る, 為る, 為る, 言う, 誹謗",7
"事, 弁護, 言う, 誹謗",6
"事, 弁護, 為る, 言う, 誹謗",18
"事, 弁護, 弁護, 言う, 誹謗",6
"事, 弁護, 弁護, 為る, 言う, 誹謗",6
"弁護, 弁護, 言う, 誹謗",6
"弁護, 弁護, 為る, 言う, 誹謗",18
"弁護, 為る, 言う, 誹謗",18
"弁護, 為る, 為る, 言う, 誹謗",18
"事, 言う, 誹謗",7
"事, 為る, 言う, 誹謗",12
"為る, 言う, 誹謗",10
"為る, 為る, 言う, 誹謗",7
"居る, 弁護, 誹謗",6
"居る, 弁護, 暇, 誹謗",12
"居る, 弁護, 為る, 誹謗",18
"居る, 弁護, 弁護, 誹謗",6
"居る, 弁護, 暇, 為る, 誹謗",12
